"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","Suits","0","0","Duplicate Suite","0"
"0","","1","Test case","0","0","Create test case","0"
"0","","2","Projects","0","0","Create Project","0"
"0","","1","Authentication","3","0","Login","0"
"0","","1","Test case","0","0","Add test case with steps","0"
"0","","1","Suits","0","0","Create Suite","0"
"0","","1","Full business test","0","0","End to end test","0"
"0","API","0","Cases API","1","0","Create, Update and Delete Case","0"
"0","","1","Test case","0","0","Delete test case","0"
"0","","1","Suits","0","0","Delete Suite","0"
"0","","1","Projects","0","0","Delete Project","0"
"0","","1","Logout","0","0","Logout","0"
"0","","1","Test case","0","0","Cancel test case","0"
"0","","1","Suits","0","0","Edit Suite","0"
"0","","1","Suits","0","0","Create Nested Suite","0"
"0","","1","Projects","0","0","Edit Project","0"
"0","API","0","Project API","1","0","Create Project","0"
